,Table 5: Arrests by year: ACERO - CLEMENTE,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY16,1 0 0,1,,,
SY13,2 0 0,2,,,
,Table 6: Arrests by year: ACERO - MARQUEZ,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY19,1 0 0,1,,,
SY18,1 0 0,1,,,
,Table 7: Arrests by year: ACERO - SOTO HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY20,4 4 0,0,,,
SY19,1 1 0,0,,,
SY16,1 1 0,0,,,
,Table 8: Arrests by year: ADDAMS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY14,1 0 0,1,,,
,Table 9: Arrests by year: AGASSIZ,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY14,2 0 0,2,,,
,Table 10: Arrests by year: AIR FORCE HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY19,1 0 0,1,,,
SY18,5 3 0,2,,,
SY17,14 6 0,8,,,
SY16,6 2 0,4,,,
SY15,5 2 0,3,,,
SY14,6 2 0,4,,,
SY13,15 15 0,0,,,
SY12,4 4 0,0,,,
,Table 11: Arrests by year: ALBANY PARK -OR- EDISON,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY17,1 0 0,1,,,
SY16,3 1 0,2,,,
SY15,2 1 0,1,,,
SY14,3 2 0,1,,,
SY13,1 1 0,0,,,
SY12,1 1 0,0,,,
,Table 12: Arrests by year: ALCOTT HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY19,1 1 0,0,,,
SY18,3 2 0,1,,,
SY14,1 1 0,0,,,
SY13,2 1 0,1,,,
SY12,2 2 0,0,,,
,Table 13: Arrests by year: ALDRIDGE,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY18,1 0 0,1,,,
SY17,1 0 0,1,,,
SY16,4 3 0,1,,,
SY15,6 4 0,2,,,
SY14,5 3 1,1,,,
SY13,2 1 0,1,,,
,Table 14: Arrests by year: AMUNDSEN HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY20,13 12 1,0,,,
SY19,8 3 0,5,,,
SY18,14 4 0,10,,,
SY17,9 6 0,3,,,
SY16,18 8 1,9,,,
SY15,32 16 1,15,,,
SY14,20 6 2,12,,,
SY13,66 39 10,17,,,
SY12,62 53 7,2,,,
,Table 15: Arrests by year: ARIEL -OR- U OF C - NKO,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY19,1 0 0,1,,,
SY15,4 4 0,0,,,
SY12,3 3 0,0,,,
,Table 16: Arrests by year: ARMOUR,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY17,1 1 0,0,,,
SY13,1 1 0,0,,,
,Table 17: Arrests by year: ARMSTRONG G,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY15,1 0 0,1,,,
SY14,2 0 0,2,,,
SY13,3 3 0,0,,,
SY12,4 3 1,0,,,
,Table 18: Arrests by year: ASHBURN,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY14,1 1 0,0,,,
,Table 19: Arrests by year: ASHE,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY18,3 0 0,3,,,
SY16,3 3 0,0,,,
SY15,3 1 1,1,,,
SY14,7 5 0,2,,,
SY13,13 8 0,5,,,
SY12,9 9 0,0,,,
,Table 20: Arrests by year: ASPIRA - BUSINESS AND FINANCE HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY20,2 2 0,0,,,
SY19,2 2 0,0,,,
,Table 21: Arrests by year: ASPIRA - EARLY COLLEGE HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY17,1 0 0,1,,,
SY15,2 2 0,0,,,
SY13,2 1 0,1,,,
,Table 22: Arrests by year: ASPIRA - HAUGAN,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY19,1 1 0,0,,,
SY18,1 0 0,1,,,
SY17,3 1 0,2,,,
SY16,1 1 0,0,,,
SY13,3 1 0,2,,,
,Table 23: Arrests by year: AUDUBON,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY13,2 1 0,1,,,
,Table 24: Arrests by year: AUSTIN CCA HS,,,,
,Number of Arrests,,,,
Year,All Active Students Other Persons,Without Person IDs,,,
SY20,2 2 0,0,,,
SY19,4 1 0,3,,,
SY18,9 3 0,6,,,
SY17,3 2 0,1,,,
SY16,12 6 0,6,,,
SY15,14 6 3,5,,,
