the_geom,Short_Name,School_ID,Network,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
POINT (-87.74009743581296 41.807578506885676),GLOBAL CITIZENSHIP,400009,Charter,4647 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8075785077,-87.7400974358,1(773)582-1100,8,GARFIELD RIDGE,14,Edward M. Burke
POINT (-87.62584903655835 41.79612150956602),ACE TECH HS,400010,Charter,5410 S STATE ST,60609,Charter,HS,"9, 10, 11, 12",41.7961215104,-87.6258490365,1(773)548-8705,9,WASHINGTON PARK,3,Patricia R. Dowell
POINT (-87.70523452593643 41.87724835219521),LOCKE A,400011,Charter,3141 W JACKSON BLVD,60612,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.877248353,-87.7052345259,1(773)265-7232,5,EAST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.72709565849537 41.93729828444937),ASPIRA - EARLY COLLEGE HS,400013,Charter,3986 W BARRY AVE,60618,Charter,HS,"9, 10, 11, 12",41.9372982853,-87.7270956585,1(773)252-0970 x137,4,AVONDALE,30,Ariel E. Reboyras
POINT (-87.72182466520648 41.966405667183686),ASPIRA - HAUGAN,400017,Charter,3729 W LELAND AVE,60625,Charter,ES,"6, 7, 8",41.966405668,-87.7218246652,1(773)252-0970,1,ALBANY PARK,35,Rey Colon
POINT (-87.76532197832837 41.8823222208844),CATALYST - CIRCLE ROCK,400021,Charter,5608 W WASHINGTON BLVD,60644,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8823222217,-87.7653219783,1(773)945-5025,3,AUSTIN,29,Chris Taliaferro
POINT (-87.69494501176021 41.89937657239439),CHICAGO ARTS HS,400022,Contract,2714 W AUGUSTA BLVD,60622,Contract,HS,"9, 10, 11, 12",41.8993765732,-87.6949450118,1(773)534-9710,5,WEST TOWN,26,Roberto Maldonado
POINT (-87.58792764149399 41.74317941977078),CICS - AVALON/SOUTH SHORE,400023,Charter,1501 E 83RD PL,60619,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7431794206,-87.5879276415,1(773)721-0858,12,AVALON PARK,8,Michelle A. Harris
POINT (-87.67024265731233 41.79404286369821),CICS - BASIL,400024,Charter,1816 W GARFIELD BLVD,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7940428645,-87.6702426573,1(773)778-9455,11,NEW CITY,16,JoAnn Thompson
POINT (-87.68135796494731 41.92241462911477),CICS - BUCKTOWN,400025,Charter,2235 N HAMILTON AVE,60647,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9224146299,-87.6813579649,1(773)645-3321,6,LOGAN SQUARE,32,Scott Waguespack
POINT (-87.65756105861855 41.72024642296584),CICS - LOOMIS,400026,Charter,9535 S LOOMIS ST,60643,Charter,ES,"K, 1, 2",41.7202464238,-87.6575610586,1(773)429-8955,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
POINT (-87.71049242850188 41.95089127467508),CICS - IRVING PARK,400027,Charter,3820 N SPAULDING AVE,60618,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9508912755,-87.7104924285,1(773)433-5000,1,IRVING PARK,33,Deborah Mell
POINT (-87.61688838173549 41.684433037932656),CICS - PRAIRIE,400028,Charter,11530 S PRAIRIE AVE,60628,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6844330387,-87.6168883817,1(773)928-0480,13,WEST PULLMAN,9,Anthony A. Beale
POINT (-87.62126075301158 41.784126396805284),CICS - WASHINGTON PARK,400029,Charter,110 E 61ST ST,60637,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7841263976,-87.621260753,1(773)324-3300,9,WASHINGTON PARK,20,Willie B. Cochran
POINT (-87.77674853946418 41.92168749461324),CICS - WEST BELDEN,400030,Charter,2245 N MCVICKER AVE,60639,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9216874954,-87.7767485395,1(773)637-9430,3,BELMONT CRAGIN,36,Nicholas Sposato
POINT (-87.69261439881286 41.74536544990311),CICS - WRIGHTWOOD,400031,Charter,8130 S CALIFORNIA AVE,60652,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7453654507,-87.6926143988,1(773)434-4575,10,ASHBURN,18,Lona Lane
POINT (-87.66897963900723 41.74838240757893),CICS - ELLISON HS,400032,Charter,1817 W 80TH ST,60620,Charter,HS,"9, 10, 11, 12",41.7483824084,-87.668979639,1(773)478-4434,11,AUBURN GRESHAM,17,Latasha R. Thomas
POINT (-87.65576813292576 41.72122143220191),CICS - LONGWOOD,400033,Charter,1309 W 95TH ST,60643,Charter,HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.721221433,-87.6557681329,1(773)238-5330,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
POINT (-87.72650426434443 41.99024501132617),CICS - NORTHTOWN HS,400034,Charter,3900 W PETERSON AVE,60659,Charter,HS,"9, 10, 11, 12",41.9902450122,-87.7265042643,1(773)478-3655,1,NORTH PARK,39,Margaret Laurino
POINT (-87.67481841837879 42.013031488980566),CHICAGO MATH & SCIENCE HS,400035,Charter,7212 N CLARK ST,60626,Charter,HS,"6, 7, 8, 9, 10, 11, 12",42.0130314898,-87.6748184184,1(773)761-8960,2,ROGERS PARK,49,Joe A. Moore
POINT (-87.64977248488317 41.88055011182431),CHICAGO VIRTUAL,400036,Charter,38 S PEORIA ST,60607,Charter,HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.8805501126,-87.6497724849,1(312)267-4486,6,NEAR WEST SIDE,25,Daniel S. Solis
POINT (-87.69436444522483 41.90677063476995),ERIE,400039,Charter,1405 N WASHTENAW AVE,60622,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9067706356,-87.6943644452,1(773)486-7161,5,WEST TOWN,1,Proco (Joe) Moreno III
POINT (-87.71764197634056 41.86207686324782),FRAZIER CHARTER,400040,Charter,3711 W DOUGLAS BLVD,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8620768641,-87.7176419763,1(773)534-6776,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.66807694563214 41.883362026191705),HOPE INSTITUTE,400043,Contract,1628 W WASHINGTON,60612,Contract,ES,"K, 1, 2, 3, 4, 5",41.883362027,-87.6680769456,1(773)534-7405,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
POINT (-87.7210706465121 41.858369743196675),KIPP - ASCEND,400044,Charter,1616 S AVERS AVE,60623,Charter,ES,"6, 7, 8",41.858369744,-87.7210706465,1(773)521-4766,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.63105814858851 41.69804048805754),NKRUMAH,400045,Charter,314 W 108TH ST,60628,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6980404888,-87.6310581486,1(773)568-8000,13,ROSELAND,34,Carrie M. Austin
POINT (-87.7106794800759 41.867272713849566),LEARN - BUTLER,400046,Charter,1132 S HOMAN AVE,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8672727147,-87.7106794801,1(773)826-6330,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.69873871980407 41.87786063109123),LEARN - CAMPBELL,400047,Charter,212 S FRANCISCO AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.8778606319,-87.6987387198,1(773)826-0370,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.702070890427 41.887319914886554),LEARN - EXCEL,400048,Charter,3021 W CARROLL AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.8873199157,-87.7020708904,1(312)243-7001,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.73034814856054 41.85685915735708),LEGACY,400049,Charter,4217 W 18TH ST,60623,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8568591582,-87.7303481486,1(773)542-1640,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.66772404348096 41.825699759221585),NAMASTE,400050,Charter,3737 S PAULINA ST,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.82569976,-87.6677240435,1(773)715-9558,8,MCKINLEY PARK,12,George A. Cardenas
POINT (-87.6626277822452 41.90019052036328),NOBLE - NOBLE HS,400051,Charter,1010 N NOBLE ST,60642,Charter,HS,"9, 10, 11, 12",41.9001905212,-87.6626277822,1(773)862-1449,6,WEST TOWN,2,Bob Fioretti
POINT (-87.60416374545034 41.765252281014504),NOBLE - COMER,400052,Charter,7131 SOUTH CHICAGO AVE,60619,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7652522818,-87.6041637454,1(773)729-3969,12,GREATER GRAND CROSSING,5,Leslie A. Hairston
POINT (-87.66448299829219 41.89528219322829),NOBLE - GOLDER HS,400053,Charter,1454 W SUPERIOR ST,60642,Charter,HS,"9, 10, 11, 12",41.895282194,-87.6644829983,1(312)265-9925,6,WEST TOWN,27,"Walter Burnett, Jr."
POINT (-87.73012671473326 41.91521410632573),NOBLE - PRITZKER HS,400054,Charter,4131 W CORTLAND AVE,60639,Charter,HS,"9, 10, 11, 12",41.9152141071,-87.7301267147,1(773)394-2848,4,HERMOSA,35,Rey Colon
POINT (-87.66085886981283 41.89242501199445),NOBLE - RAUNER HS,400055,Charter,1337 W OHIO ST,60642,Charter,HS,"9, 10, 11, 12",41.8924250128,-87.6608588698,1(312)226-5345,6,WEST TOWN,1,Proco (Joe) Moreno III
