the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.74009743581296 41.807578506885676),400009,1873030.20443,1145984.28397,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","4647 W 47TH ST, 60632",GLOBAL CITIZENSHIP
POINT (-87.70523452593643 41.87724835219521),400011,1898485.16828,1155303.36178,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","3141 W JACKSON BLVD, 60612",LOCKE A
POINT (-87.72709565849537 41.93729828444937),400013,1920324.56227,1149195.13023,Traditional,HS,"9, 10, 11, 12","3986 W BARRY AVE, 60618",ASPIRA - EARLY COLLEGE HS
POINT (-87.72182466520648 41.966405667183686),400017,1930941.56564,1150553.58684,Traditional,ES,"6, 7, 8","3729 W LELAND AVE, 60625",ASPIRA - HAUGAN
POINT (-87.76532197832837 41.8823222208844),400021,1900220.05195,1138927.13929,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5608 W WASHINGTON BLVD, 60644",CATALYST - CIRCLE ROCK
POINT (-87.69494501176021 41.89937657239439),400022,1906569.34896,1158045.58137,Traditional,HS,"9, 10, 11, 12","2714 W AUGUSTA BLVD, 60622",CHIARTS HS
POINT (-87.58792764149399 41.74317941977078),400023,1849886.71462,1187674.07362,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1501 E 83RD PL, 60619",CICS - AVALON/SOUTH SHORE
POINT (-87.67024265731233 41.79404286369821),400024,1868237.09426,1165066.97776,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1816 W GARFIELD BLVD, 60609",CICS - BASIL
POINT (-87.68135796494731 41.92241462911477),400025,1914992.25141,1161680.73879,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2235 N HAMILTON AVE, 60647",CICS - BUCKTOWN
POINT (-87.65756105861855 41.72024642296584),400026,1841373.24412,1168736.34935,Traditional,ES,"K, 1, 2","9535 S LOOMIS ST, 60643",CICS - LOOMIS
POINT (-87.71049242850188 41.95089127467508),400027,1925310.26621,1153676.56353,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","3820 N SPAULDING AVE, 60618",CICS - IRVING PARK
POINT (-87.61688838173549 41.684433037932656),400028,1828413.05121,1179948.65042,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","11530 S PRAIRIE AVE, 60628",CICS - PRAIRIE
POINT (-87.62126075301158 41.784126396805284),400029,1864730.42838,1178453.76693,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","110 E 61ST ST, 60637",CICS - WASHINGTON PARK
POINT (-87.77674853946418 41.92168749461324),400030,1914544.34942,1135722.45442,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2245 N MCVICKER AVE, 60639",CICS - WEST BELDEN
POINT (-87.69261439881286 41.74536544990311),400031,1850453.18396,1159098.57598,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","8130 S CALIFORNIA AVE, 60652",CICS - WRIGHTWOOD
POINT (-87.66897963900723 41.74838240757893),400032,1851601.44578,1165539.91316,Traditional,HS,"9, 10, 11, 12","1817 W 80TH ST, 60620",CICS - ELLISON HS
